wavelet,level,mode,X_Error_p,X_Error_kurt,X_Error_pass,Y_Error_p,Y_Error_kurt,Y_Error_pass,Z_Error_p,Z_Error_kurt,Z_Error_pass,Clock_Error_p,Clock_Error_kurt,Clock_Error_pass,n_gaussian,avg_p,avg_kurt,score
db4,5,hard,0.38483846598103033,-0.213041710075085,True,0.029533634390005604,0.507677559158219,False,0.03251326998744525,0.8033214202929408,False,0.6812252812096957,-0.07193543610652808,True,2,0.28202766289204423,0.39899403140819323,2.2421282597512247
db4,4,hard,0.3848896048993103,-0.21305783102621412,True,0.029528983107433442,0.5076747259967682,False,0.0325232655054345,0.8033123074685791,False,0.6594796339077156,-0.021806895241463398,True,2,0.27660537185497347,0.3864629399332562,2.237959077861648
db4,3,hard,0.371612139068746,-0.2071354767237059,True,0.029533500162591025,0.5076699758391849,False,0.02886035905431499,0.806443812966875,False,0.36475315260544894,0.12551212416460178,True,2,0.19868978772277524,0.4116903474235919,2.157520752980416
sym6,3,soft,0.014470729958491989,-0.08514603577725754,False,0.3595311431608995,0.6301447494060346,True,0.4001252446798293,0.3824606453427659,True,0.011364375330632812,0.5837811468068739,False,2,0.19637287328246342,0.420383144333233,2.1543345588491403
db6,4,soft,0.08834106940482639,0.6578501119777629,True,0.016279156626095158,1.083709670058961,False,0.08136818593867992,0.7849897129877612,True,0.030041236365491334,0.8383139113934686,False,2,0.0540074120837732,0.8412158516044884,1.9698858269233244
sym4,3,hard,0.001057282382520633,0.7986263989309372,False,1.1586440110944888e-05,1.854939300525114,False,0.0006383675542693071,1.1918083168842024,False,0.13481209501444363,0.5095645796009678,True,1,0.034129832847836127,1.0887346489853054,0.9252563679493055
sym4,4,hard,0.0006704093372438099,0.8280361132845626,False,1.1244273435504437e-05,1.8522002336535568,False,0.000651279202083574,1.1965183897968368,False,0.13532078120747704,0.5092312673261703,True,1,0.03416342850505998,1.0964965010152816,0.9245137784035319
sym4,5,hard,0.0007038532592119829,0.8227439973100057,False,1.1739816344921268e-05,1.8563142673172193,False,0.0004802669057159362,1.2561032900924305,False,0.1389264257493411,0.5037802189308795,True,1,0.035030571432653486,1.1097354434126339,0.9240570270913901
db8,5,soft,0.011487105512737043,1.0259480663512441,False,0.0018668883278016443,1.4484517104181407,False,0.05728405190857298,0.6506788218315283,True,0.0005236718612246734,1.5426044652797994,False,1,0.017790429402584088,1.1669207659701781,0.9010983528055663
db6,3,soft,0.016841211067983003,1.0970524744451247,False,0.047848236965898475,0.9133156932312967,False,0.00808385998008788,1.0322161014009712,False,0.003864906072206016,0.9819920496199379,False,0,0.019159553521543846,1.0061440796743326,-0.08145485444588942
db8,4,soft,0.0050079509467513515,1.236431269054603,False,0.000550063063789107,1.6251207765707658,False,0.009804299031627186,0.9686346398203081,False,0.0018205774254691238,1.2737085775810444,False,0,0.004295722616909192,1.2759738157566805,-0.12330165895875886
db8,3,soft,0.00043679996632967874,1.6720413699053243,False,0.0030543055888599836,1.4247194968767314,False,3.748993895686341e-05,1.7646320077596407,False,0.00022359157988622135,1.5931533355295642,False,0,0.0009380467685081869,1.6136365525178151,-0.1604256084832733
coif2,5,hard,0.0021915438079991834,1.2636568641568768,False,1.0091319060750468e-05,2.007701515329149,False,1.979685654066774e-06,2.489314162300915,False,0.0024983508383315555,0.8828200550835041,False,0,0.0011754914127613892,1.6608731492176112,-0.16491182350899974
coif2,4,hard,0.0021082486822906667,1.2669814445672571,False,1.0091319060747136e-05,2.0077015153291766,False,1.899975950337585e-06,2.5355835326113363,False,0.0024965675772011483,0.8828728161788386,False,0,0.001154201888625725,1.6732848271716523,-0.1661742808285395
coif2,3,hard,0.0020289808955931653,1.2701559214682971,False,1.0176850894992587e-05,2.0095212409787777,False,1.7437582062411945e-06,2.6011582752258073,False,0.0024975646104801233,0.8827054285578537,False,0,0.0011346165287936306,1.690885216557684,-0.16795390512697478
